84059	231178
7048	91387
79577	99880
580	443909
3712	33
488	218
55814	87884
6204	124
5189	79189
58472	506
9411	1991
9333	263534
2348	217382
80224	506
23394	404448
4810	627
246329	168572
617	506
8802	506
3767	183625
640	183625
3190	453499
29078	506
3630	183625
673	648
2138	107
55526	79154
215	139396
2639	25
953	401810
4624	217569
2301	229
5892	227535
5889	227535
64116	506
85358	48652
5605	2701
5378	144
51119	811
4851	91387
999	213517
51079	506
1352	506
3073	845
37	26793
287	130
8643	377
3791	182090
5290	213517
2562	1934
7139	217604
6445	353
2261	15
2811	52530
4297	319182
55065	411712
55699	506
1947	1520
4853	52
1063	506307
26039	803
87178	90636
8036	500
4634	247
10667	506
26227	35705
9497	1872
695	231692
4625	217604
2719	373
3081	56
9531	593
59	229
6016	500
54084	87884
2629	355
6444	102015
7414	217604
201163	122
4000	247
7043	229
6949	861
326625	79311
5654	477754
3082	87884
26047	163681
4728	506
4254	87884
121512	166
22845	91131
57534	217604
57538	217569
153562	87884
1387	353277
2538	79258
27286	163721
139285	2780
5604	648
50674	99885
7168	217569
11078	90636
401124	650
346171	99886
5500	2701
6928	99886
6928	99885
6505	2195
51322	466950
34	42
9516	166
200894	475
54982	216
783	217569
2301	91387
27030	443909
2717	324
538	565
9156	443909
5395	144
197322	289504
472	100
64087	6
6927	183625
6611	3063
4128	3057
171023	97297
79868	442835
79875	229
64324	821
5962	87884
6567	59
7043	247
7012	519
112817	93600
1674	217604
1183	777
8763	87884
4633	247
2554	1934
80206	217569
4485	302
22800	648
8036	3071
1687	90635
2158	98879
10235	2781
10084	3242
60561	213517
7134	217604
3158	35701
6237	2701
2626	99885
2626	99886
4036	828
2147	325
875	394
8291	102015
59336	75327
9056	470
4760	791
8076	229
440	391376
1280	90653
1513	763
4436	252202
65217	231169
3920	34587
7042	229
2243	335
8892	135
472	213517
6263	442835
4729	506
5921	2701
2184	882
999	26106
2153	326
6331	247
1491	212
29929	79320
64170	397587
8048	217604
55906	98464
27010	506
7474	3107
26585	157794
5624	745
70	217604
148398	791
80067	3464
2160	329
6654	648
4436	213500
5889	213517
5663	217604
5314	731
6197	192
3912	352682
5476	351
3032	746
4087	91387
55651	1775
3242	69723
4763	213517
1121	180
5885	199
26580	224
133686	431361
3845	3071
5395	587
7112	154
22800	2701
5456	87884
3617	791
2055	228354
641	125
10555	224
1690	87884
23503	100996
2956	780
6654	1340
161497	87884
23562	87884
79813	261494
55624	370953
84839	791
410	512
1593	909
5589	2924
23207	217604
5193	79189
5429	90342
4352	3319
493856	3463
6262	247
5894	1340
282996	217604
5604	2701
2706	90636
64241	2882
91869	244310
7957	501
2626	2255
4524	395
8893	135
6594	1465
6263	97245
3737	98258
2706	90642
5009	664
91137	506
144568	3071
5781	1340
5781	648
117531	87884
1302	87884
51305	166108
29925	590
4437	443909
2070	87884
383	90
411	583
190	95702
58	217569
1027	443909
4087	60030
5728	306498
2161	330
26090	171848
501	3006
60561	227535
65217	87884
9639	140481
2395	95
64218	443909
6247	792
2707	317
7428	892
55654	217071
2707	316
7134	247
2200	91387
5860	226
79053	2924
3702	538963
644096	506
51428	488647
6855	777
2592	352
5395	780
9200	97245
7840	64
286676	87884
3155	20
27063	217604
3559	79118
5192	79189
673	3071
8556	87884
324	247806
54982	228363
6389	506
1836	56304
7043	91387
374291	506
376132	217604
4693	649
1678	52368
2584	79237
3559	224
2130	803
3265	3071
10102	506
6448	79269
4893	500
10060	130
6016	1340
2121	289
4625	247
26503	309334
4144	229
5727	377
8076	91387
54499	1394
4286	895
3728	79361
3988	275761
146183	87884
57192	578
8291	207073
123263	506
56521	508523
55636	138
137682	506
51475	87884
9885	87884
3295	300
1302	1427
10020	602
6833	99886
445	247525
1584	90795
6833	99885
2626	224
5859	404437
3737	442835
1495	443909
5191	309789
22800	1340
59345	166
64332	443909
7273	217604
8557	217569
1476	1934
7168	247
5921	648
358	182090
1161	90321
1785	166
5459	87884
25974	79282
124454	506
7042	91387
55869	199
1050	519
23133	85287
10235	420566
1297	828
633	91387
23474	506
64240	2882
340024	2116
80208	2822
2707	87884
4125	61
4647	231169
51604	369837
1589	90794
144568	2701
5340	722
81031	91387
138050	581
56922	6
154881	98261
5350	247
1027	276152
2218	370953
178	366
5318	130
4534	596
695	47
3718	35078
11200	213517
10128	254905
22852	519
3757	130
5979	247698
91624	217569
144568	500
652	828
23417	943
4942	414
7148	230839
125336	87884
549	67046
28982	88628
6928	93111
6655	648
30008	229
33	99900
84833	506
224	816
1135	140927
24140	777
477	569
5271	289586
5922	648
2157	98878
7125	217569
5723	35705
259236	87884
388403	791
132884	289
170692	71862
57020	7
152137	87884
27295	217569
2196	589527
57158	217604
2052	443909
59341	2635
2200	558
23630	130
5894	648
673	2701
126326	87884
4436	780
6834	506
54870	580940
8313	300576
5631	3222
23558	90636
1717	818
5781	500
25836	199
2627	224
4542	87884
9414	87884
6514	224
3141	79242
7137	217604
1174	171851
3265	780
29899	314597
7137	247
3845	648
5395	227535
11151	302
25939	90280
4718	506
7486	902
8504	79189
6495	107
2645	183625
59	91387
79977	45358
10021	91387
5592	91387
6016	2701
7454	906
6237	500
686	79241
6336	130
8314	289539
51204	506
1111	213517
23218	721
6390	217071
999	227535
5605	648
57492	1465
22	2802
5805	13
84059	87884
2334	100973
2200	284963
861	71290
1540	79493
5096	35
11190	791
84665	217604
10952	2924
5921	3071
5922	2701
254065	98464
11200	227535
5889	84
6121	65
100303755	506
1739	130
1837	217604
11200	443909
4919	87884
2159	328
5830	79189
57465	79500
462	82
63915	79430
3630	99886
3630	99885
763	401948
23395	2855
2271	523
2956	213500
1674	247
2752	71278
55624	588
7102	777
1299	828
91942	506
1200	216
4633	217604
50814	251383
1287	63
30008	91387
6833	276525
1287	88917
3043	848
2956	252202
79784	87884
55037	506
3265	500
84700	447974
29098	130
124842	90636
4719	506
162417	927
9917	1425
64699	87884
375611	87884
9319	488191
4760	65288
27034	79159
55967	506
84695	828
4000	217604
1280	93296
84705	506
11231	2924
5781	3071
60386	506
84033	217569
2811	274
9231	363250
8736	217569
326	3453
1146	391504
25792	420492
10804	87884
2244	335
9531	217604
8216	648
7157	213517
70	247
4704	506
6597	213620
2548	365
107	90636
3845	1340
3425	579
10518	231169
3190	453504
9132	87884
25939	2573
7414	217569
6507	209967
6694	791
79731	87884
51473	87884
5395	213500
2645	99886
5627	743
80816	352577
5965	227535
6224	443909
7299	352731
3784	217569
6662	718
1666	431361
4488	1541
1834	49042
84947	506
2108	26791
11093	93583
79651	2198
23522	536391
4878	217604
5277	442835
1286	88919
1499	404473
4669	79270
2697	87884
29119	247
4436	144
4649	109007
85366	217569
38	134
8540	177
229	469
80736	87884
27232	289891
6011	75382
6121	791
1298	828
3908	258
25970	329249
3674	849
1000	247
4683	647
8242	98464
2161	100054
7276	271861
4893	1340
59344	79394
4436	227535
5354	702
10128	506
5076	1475
10021	229
6794	213517
2109	26791
2074	90322
388551	87884
4204	778
4629	229
388552	231537
51422	217569
6237	3071
5592	229
287	3286
3251	510
8036	2701
5053	716
8898	476116
7518	443909
6591	3440
93986	211053
7139	247
2581	487
4437	480536
8573	98464
6023	175
1285	88919
189	93598
2812	274
100	277
2521	803
153201	42062
2271	64720
999	443909
10804	189
5019	832
1737	506
1497	213
55768	404454
22800	500
9526	79323
8048	217569
1738	2394
246213	87884
4247	79329
1759	98258
6444	219
1832	217604
134359	791
70	217569
5604	3071
6821	99731
4705	506
5664	217604
1641	48471
8036	648
3692	811
4763	2573
5331	254
10111	227535
5424	447877
6331	217604
51168	87884
3074	796
139411	777
27086	391372
22808	648
22800	3071
389207	87884
5156	44890
8799	79189
5310	53035
4851	229
1829	217604
9455	87884
6016	648
2266	335
9325	486811
5295	3163
161742	137605
2720	354
4171	87884
1111	227535
5781	2701
9294	87884
57057	217604
643226	87884
1493	436159
1836	93298
1145	590
5894	2701
83990	213517
83696	352530
84693	308425
125972	217569
1080	586
3423	580
2070	217622
215	685
1836	628
3561	276
1610	803
6392	217071
26235	506
5922	1340
5925	790
53904	87884
6999	2224
6654	2701
64787	87884
2103	87884
29123	2332
805	3286
5795	443909
2937	32
3611	217604
5644	676
22926	49382
4361	213517
5172	705
4286	217071
83715	87884
950	98261
9750	87884
5195	79189
23116	363250
4714	506
103	506
60684	369840
54902	506
845	217569
4694	506
6651	500150
9487	3474
57582	98259
2022	329971
781	130
6898	28378
5308	77
4627	182050
347733	45358
7450	903
8443	177
7071	217569
116442	2379
51750	519
7138	607
9863	98258
3265	2701
867	363972
3914	305
64283	803
5604	500
4641	90635
163183	87884
54332	166
5318	217604
1063	444069
657	329971
7291	794
5538	228329
3172	183625
54888	536391
4359	166
7007	87884
1729	494444
144165	98261
5873	79477
10295	308410
6786	3204
29968	35705
10060	217604
8314	217071
5265	60
4695	506
10479	85278
6229	124
56616	87884
35	26792
84876	2593
7337	72
5605	3071
175	93
79648	213517
6442	62
2055	216
83990	227535
633	229
84572	423470
347344	777
4723	506
8557	217604
1836	251
196528	1465
435	23
4292	227535
580	213517
5095	35
1769	137893
1376	157
10020	220452
4624	217604
1832	65282
84466	439212
4638	91387
6443	102015
166785	79310
2815	274
79158	79212
7112	217569
7319	163956
3028	391417
6323	36387
71	87884
5649	89844
6519	214
6237	1340
28976	99901
3815	44890
23126	468678
7139	217569
84464	213517
407053	87884
5321	477787
6654	500
84892	370953
4771	637
4632	97245
9851	474
5339	590
11155	217604
7516	227535
1741	777
56997	35656
9211	101046
4784	420179
4607	217604
5063	98464
4594	27
26275	88639
9380	93599
9401	2909
10111	213517
3371	87884
10166	415
1311	750
6731	519
5194	79189
51816	767
3110	99885
1756	262
1201	228346
6925	2896
3242	2118
55690	329224
7082	247
4760	183625
4143	168598
4015	229
3030	5
6662	1487
2658	182090
7048	229
53405	90636
147912	107
51684	616
546	73220
3690	849
5395	252202
1798	86309
7466	3463
7168	217604
5728	64720
4722	506
1476	308
203859	102015
79728	213517
4640	87884
4893	3071
9459	777
7046	91387
5965	213517
4952	534
6662	140
283310	87884
129563	2849
84340	506
27089	506
9557	93545
112476	31709
5190	79189
274	595
2182	777
7134	217569
4087	229
378884	501
1829	247
132320	110
22909	443909
25861	87884
2956	227535
4567	225
1824	217656
7450	166087
64072	87884
11155	247
84189	363396
5921	1340
6327	130
3181	803
2318	217604
340990	87884
124590	231169
673	500
4292	780
23405	64742
5191	79189
2201	91387
79955	90636
2033	783
4634	217569
83706	99844
7871	130
79875	91387
6331	768
3651	99885
9371	363250
7399	231178
6584	158
5077	3440
84665	217569
64840	2092
10529	217604
7273	247
57465	87884
3845	2701
7516	213517
3909	305
55687	506
55670	79189
2200	229
580	227535
675	319462
23676	87884
9131	139583
63976	217604
2332	908
4893	648
8462	183625
7138	98902
2664	777
6597	443909
80704	506
4292	252202
11136	214
79147	370953
1311	251
5426	447877
79648	227535
5922	3071
9839	2152
95	137754
1200	228349
775	130
6237	648
286262	87884
3265	1340
7369	88950
81031	229
4072	227535
124590	87884
9126	199
5091	3008
3897	275543
5921	500
5604	1340
5251	89936
6329	97245
26278	98
9681	98820
79783	35706
5269	87884
4629	91387
23312	87884
4607	247
51501	495844
4638	229
1374	156
825	267
2956	144
4088	229
2593	382
84033	217604
6595	3051
5318	247
389827	1358
4595	247798
348654	227535
26258	280663
2110	26791
5894	500
5078	183625
6514	99885
6597	1465
6514	99886
7132	32960
124093	595
23059	65
27245	412069
253827	87884
1387	783
9939	3320
2201	229
8565	166
659	182090
79731	506
222662	87884
3918	305
79728	227535
4351	79319
6794	2869
3759	3286
4088	91387
3764	130
1030	217071
4683	227535
4488	60015
472	443909
4595	213517
7046	229
6444	217604
28981	363250
6812	98258
4724	506
5605	500
6134	98464
4893	2701
27063	217569
1629	511
242	79394
374462	90636
4646	87884
36	79157
1355	506
221322	140997
3785	442835
326625	293355
5922	500
6497	2462
5828	79189
8546	183678
114327	307
7428	217071
11253	397941
5605	1340
4763	636
284161	791
2956	587
4634	217604
6862	178
776	324321
6709	442835
275	407
8481	363250
8036	1340
3034	2157
415	79345
1785	169189
51778	217569
10312	667
1757	3129
4144	91387
6442	102015
10743	819
79977	87884
57214	87884
10075	777
10518	87884
6535	52503
51094	791
2299	90642
51684	377
3265	648
1832	217569
7274	96
10083	231169
5345	79
246243	506
1203	228360
1509	216
29958	243343
7273	217569
10083	87884
3845	500
2628	35704
7046	65748
6331	130
87178	506
5350	167848
7466	411590
4210	342
10157	2203
3035	231183
6137	253
9997	506
6137	252
701	780
84173	87884
8905	777
4647	87884
144568	1340
6391	217071
80150	71862
65993	506
6445	102015
7750	93545
6938	478
81570	506
7140	607
5290	227535
84295	127
5894	3071
5892	213517
1489	217604
2731	407
3784	90647
540	905
4089	329971
494513	87884
16	442835
1674	593
2318	171445
7046	60030
5238	443811
4329	289307
1028	780
617	123
4625	217569
22954	102015
191	88618
55135	1775
7552	777
91624	217604
6654	3071
4361	227535
5611	445062
64072	231169
859	130
779	97245
85476	506
157680	193
249	436
6443	119
160335	87884
100131801	506
23389	369891
348654	213517
4141	166
4595	227535
472	227535
6262	217569
4015	91387
3728	247
7401	231183
2705	101075
8803	506
64127	90340
55572	506
57798	217604
256297	99885
2022	774
23095	99946
399	302
23556	280633
158	46
27295	217604
10008	130
3033	71212
5824	79189
64421	275
2296	77
54795	130
144568	648
443	141
57158	217569
80207	67047
4821	224
916	183660
11200	519
84464	227535
7137	217569
788	159
64208	102015
5979	247709
673	1340
10576	65
84676	217569
4292	213500
2906	98258
23362	2987
51206	98885
10216	2848
256471	216
196527	806
3735	87884
5160	506
5116	2573
8659	79101
51086	217604
6770	90790
23355	1037
2625	2237
1130	167
4088	284984
4784	561
5728	217071
5831	357064
1373	147
3930	448267
4697	506
9409	79189
3295	2855
4683	780
6016	3071
3910	217604
64412	503
1654	98464
8884	183500
79728	443909
3110	224
